SampleID,Layer,Component,Quantity,,,,,,,,,
TOYOTA 049 (S1),2,BC 4019,2.2,,,,,,,,,
TOYOTA 049 (S1),2,BC 4934,0.7,,,,,,,,,
TOYOTA 049 (S1),2,BC 4110,4.1,,,,,,,,,
TOYOTA 064 (S1),1,BC 4002,3.4,,,,,,,,,
TOYOTA 064 (S1),1,BC 4019,72.4,,,,,,,,,
TOYOTA 064 (S1),1,BC 4960,20.6,,,,,,,,,
TOYOTA 064 (S1),1,BC 4980,2.1,,,,,,,,,
TOYOTA 064 (S1),1,BC 4202,0.9,,,,,,,,,
TOYOTA 064 (S1),1,BC 4560,0.6,,,,,,,,,
TOYOTA 064 (S1),2,BC 4002,6.4,,,,,,,,,
TOYOTA 064 (S1),2,BC 4010,48.8,,,,,,,,,
TOYOTA 064 (S1),2,XB 4091,29.4,,,,,,,,,
TOYOTA 064 (S1),2,BC 4111,0.9,,,,,,,,,
TOYOTA 064 (S1),2,BC 4110,14.5,,,,,,,,,
TOYOTA 084 (S1),1,BC 4002,3.8,,,,,,,,,
TOYOTA 084 (S1),1,BC 4019,85.6,,,,,,,,,
TOYOTA 084 (S1),1,BC 4025,6.2,,,,,,,,,
TOYOTA 084 (S1),1,BC 4560,4.4,,,,,,,,,
TOYOTA 084 (S1),2,BC 4002,6.8,,,,,,,,,
TOYOTA 084 (S1),2,BC 4010,53.4,,,,,,,,,
TOYOTA 084 (S1),2,XB 4091,14.3,,,,,,,,,
TOYOTA 084 (S1),2,BC 4110,25.5,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4002,3.3,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4025,39.5,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4017,27.2,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4014,9.4,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4060,7.8,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4517,5.3,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4202,2.7,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4985,0.9,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4010,0.8,,,,,,,,,
TOYOTA 1B2 (S2),1,BC 4110,3.1,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4002,2.5,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4025,29.5,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4517,23.1,,,,,,,,,
