SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Bucket,Database,Tag_Coarseness,
RAL 1011 (S1)-LS,RAL,1011,BRAUNBEIGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1012 (S1)-LS,RAL,1012,ZITRONENGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1013 (S1)-LS,RAL,1013,PERLWEISS,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1014 (S1)-LS,RAL,1014,ELFENBEIN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1015 (S1)-LS,RAL,1015,HELLELFENBEIN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1016 (S1)-LS,RAL,1016,SCHWEFELGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1017 (S1)-LS,RAL,1017,SAFRANGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1018 (S1)-LS,RAL,1018,ZINKGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1019 (S1)-LS,RAL,1019,GRAUBEIGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1020 (S1)-LS,RAL,1020,OLIVGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1021 (S1)-LS,RAL,1021,RAPSGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1023 (S1)-LS,RAL,1023,VERKEHRSGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1024 (S1)-LS,RAL,1024,OCKERGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1027 (S1)-LS,RAL,1027,CURRYGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1033 (S1)-LS,RAL,1033,DALIENGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 1034 (S1)-LS,RAL,1034,PASTELLGELB,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2000 (S1)-LS,RAL,2000,GELBORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2001 (S1)-LS,RAL,2001,ROTORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2002 (S1)-LS,RAL,2002,BLUTORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2003 (S1)-LS,RAL,2003,PASTELLORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2004 (S1)-LS,RAL,2004,REINORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2006 (S1)-LS,RAL,2006,REFLEX ORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2008 (S1)-LS,RAL,2008,HELLROTORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2009 (S1)-LS,RAL,2009,VERKEHRSORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2010 (S1)-LS,RAL,2010,SIGNALORANGE,,1,CAMPAIGN MEASUREMENT,NA,
