SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
FIAT 652A (S1),FIAT,652A,BEIGE SPUMEGGIANTE MET,Medium
FIAT 662A (S1),FIAT,662A,GRIGIO DUCALE MET,Coarse
FIAT 633A (S1),FIAT,633A,GRIGIO HAVANA MET,Medium
FIAT 634C (S1),FIAT,634C,GRIGIO PESSIMO UMORE MET,Coarse
ALFA ROMEO 639A (S1),ALFA ROMEO,639A,GRIGIO LIPARI MET,Coarse
FIAT 645 (S1),FIAT,645,GRIGIO TREND GRAPHIT MET,Medium
ALFA ROMEO 645A (S1),ALFA ROMEO,645A,GRIGIO LILLA MET,Fine
FIAT 664A (S1),FIAT,664A,GRIGIO ALSAZIA MET,Medium
FIAT 666A (S1),FIAT,666A,CINZA CROMO PER MET,Coarse
ALFA ROMEO 669A (S1),ALFA ROMEO,669A,GRIGIO GRAFITE MET,Medium
FIAT 671 (S1),FIAT,671,GRIGIO MOON MET,Fine
FIAT 674A (S1),FIAT,674A,GRIGIO BRONZO MET,Medium
FIAT 675 (S1),FIAT,675,GRIGIO ORIONE MET,Coarse
LANCIA 678A (S1),LANCIA,678A,GRIGIO CELLINI MET,Fine
FIAT 679B (S1),FIAT,679B,GRIGIO MODA MET,Medium
FIAT 681A (S1),FIAT,681A,GRIGIO BALTIC MET,Coarse
FIAT 350 (S1),FIAT,350,VERDE VALLEY MET,Medium
FIAT 415B (S1),FIAT,415B,BLU IMPECCABILE MET,Coarse
ALFA ROMEO 377A (S1),ALFA ROMEO,377A,VERDE ACERO MET,Coarse
FIAT 403B (S1),FIAT,403B,BLU NAVY MET,Medium
FIAT 407C (S1),FIAT,407C,BLU MEDITERRANEO PERL,Medium
FIAT 374B (S1),FIAT,374B,VERDE LODEN MET,Coarse
LANCIA 383A (S1),LANCIA,383A,VERDE OLIMPIA MET,Medium
FIAT 422B (S1),FIAT,422B,BLU NETTUNO MET,Medium
FIAT 409B (S1),FIAT,409B,AZZURRO SINFONIA MET,Medium
FIAT 408B (S1),FIAT,408B,BLU JET MET,Coarse
ALFA ROMEO 414B (S1),ALFA ROMEO,414B,AZZURRO NUVOLA PEARL,Medium
FIAT 426A (S1),FIAT,426A,BLU MIDNIGHT MET,Coarse
FIAT 432B (S1),FIAT,432B,BLU DON GIOVANNI MET,Coarse
FIAT 329A (S1),FIAT,329A,VERDE CHAMPION MET,Medium
FIAT 344A (S1),FIAT,344A,VERDE SMERALDO MET,Medium
ALFA ROMEO 446B (S1),ALFA ROMEO,446B,BLU ONTARIO MET,Coarse
FIAT 441C (S1),FIAT,441C,BLU ABU DHABI PERL,Coarse
FIAT 221B (S1),FIAT,221B,NERO LUX MET,Fine
ALFA ROMEO 252A (S1),ALFA ROMEO,252A,BIANCO GARDENIA MET,Medium
FIAT 174B (S1),FIAT,174B,GRIGIO PREZIOSO MET,Medium
FIAT 118B (S1),FIAT,118B,MAGENTA MICA MET,Medium
FIAT 141B (S1),FIAT,141B,ROSSO SFRENATO PERL,Medium
FIAT 260A (S1),FIAT,260A,AZZURRO GENTILE MET,Medium
FIAT 163B (S1),FIAT,163B,ROSSO MALIZIOSO MET,Medium
FIAT 106B (S1),FIAT,106B,ROSSO MARANELLO MICA,Medium
FIAT 107A (S1),FIAT,107A,ROSSO POMPEI MET,Medium
LANCIA 278A (S1),LANCIA,278A,BLU PINTURICCHIO PERL,Coarse
ALFA ROMEO 203B (S1),ALFA ROMEO,203B,BLU MONTECARLO MET,Coarse
FIAT 423A (S1),FIAT,423A,BLU RIVIERA MET,Fine
FIAT 164B (S1),FIAT,164B,ROSSO CORDOLO PEARL,Fine
FIAT 255A (S1),FIAT,255A,ROSSO PROFONDO MICA,Medium
FIAT 154B (S1),FIAT,154B,MIRTILLO MONELLO MICA,Medium
FIAT 293A (S1),FIAT,293A,ROSSO AMORE MET,Medium
FIAT 292A (S1),FIAT,292A,VERDE EDONISTA MET,Coarse
FIAT 132 (S1),FIAT,132,ROSSO SCILLA MET,Medium
LANCIA 136B (S1),LANCIA,136B,BORDEAUX REGINA CATTIVA PERL,Medium
FIAT 142B (S1),FIAT,142B,NEW BORDEAUX PONTEVECCHIO PERL,Medium
FIAT 266A (S1),FIAT,266A,BLU NOBILE MET,Extra Coarse
FIAT 112B (S1),FIAT,112B,ROSSO INTRAPRENDENTE MET,Medium
FIAT 124B (S1),FIAT,124B,ROSSO BAROCCO MET,Medium
FIAT 147B (S1),FIAT,147B,ROSSO ALLEGRO MET,Medium
FIAT 148A (S1),FIAT,148A,ROSSO ALFA MET,Medium
FIAT 153A (S1),FIAT,153A,ROSSO ACCATTIVANTE PERL,Fine
FIAT 182B (S1),FIAT,182B,ROSA DIVA MET,Fine
FIAT 184B (S1),FIAT,184B,VIOLA PROFUMATO MICA,Medium
FIAT 193A (S1),FIAT,193A,BORDEAUX OLD ROSE MET,Medium
FIAT 195A (S1),FIAT,195A,ROSSO PROTEO MET,Medium
FIAT 198B (S1),FIAT,198B,VIOLA RIBELLE MET,Coarse
FIAT 222B (S1),FIAT,222B,BIANCO LUX MET,Fine
FIAT 237 (S1),FIAT,237,GIALLO EXPLOIT MET,Medium
FIAT 240A (S1),FIAT,240A,AZZURRO ATHENA MET,Fine
ALFA ROMEO 245A (S1),ALFA ROMEO,245A,BLU CHIAIA DI LUNA MET,Medium
FIAT 250A (S1),FIAT,250A,BLU ELEGANTE MET,Coarse
FIAT 261A (S1),FIAT,261A,BIANCO SPUMANTE MET,Medium
ALFA ROMEO 262A (S1),ALFA ROMEO,262A,VERDE GIANNUTRI MET,Medium
ALFA ROMEO 263A (S1),ALFA ROMEO,263A,ROSSO RADICOFANI MET,Medium
ALFA ROMEO 264A (S1),ALFA ROMEO,264A,BLU DIGIONE MET,Medium
FIAT 272B (S1),FIAT,272B,AVORIO VANITOSO MET,Medium
ALFA ROMEO 282A (S1),ALFA ROMEO,282A,AZZURRO CRISTALLO MET,Medium
FIAT 284A (S1),FIAT,284A,GRIGIO BEL TENEBROSO MET,Extra Coarse
