SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
GM WA9201 (S1)-LS,GM,WA9201,MEDIUM MESA BROWN,NA,
GM WA5301 (S1)-LS,GM,WA5301,LIGHT TAUPE,NA,
GM WA129L (S1)-LS,GM,WA129L,PULSE RED,NA,
GM WA8832 (S1)-LS,GM,WA8832,RED,NA,
GM WA282B (S1)-LS,GM,WA282B,RED,NA,
GM WA4147 (S1)-LS,GM,WA4147,MILLE MIGLIA RED,NA,
GM WA4721 (S1)-LS,GM,WA4721,RED,NA,
GM WA9547 (S1)-LS,GM,WA9547,RED,NA,
GM WA9075 (S1)-LS,GM,WA9075,TORCH RED,NA,
GM WA9260 (S1)-LS,GM,WA9260,VICTORY RED,NA,
GM WA4007 (S1)-LS,GM,WA4007,RALLY RED,NA,
GM WA7260 (S1)-LS,GM,WA7260,PASTEL SANDSTONE,NA,
GM WA5285 (S1)-LS,GM,WA5285,RED,NA,
GM WA350D (S1)-LS,GM,WA350D,ISUZU YELLOW,NA,
GM WA131X (S1)-LS,GM,WA131X,LEMON PEEL,NA,
GM WA349D (S1)-LS,GM,WA349D,ISUZU BLUE,NA,
GM WA7495 (S1)-LS,GM,WA7495,MEDIUM BRIGHT RAISIN,NA,
GM WA9076 (S1)-LS,GM,WA9076,RED,NA,
GM WA523F (S1)-LS,GM,WA523F,HUGGER ORANGE,NA,
GM WA9593 (S1)-LS,GM,WA9593,TORCH RED,NA,
GM WA338 (S1)-LS,GM,WA338,SOLAR RED,NA,
GM WA5476 (S1)-LS,GM,WA5476,VICTORY RED,NA,
GM WA7154 (S1)-LS,GM,WA7154,MEDIUM BLUE,NA,
GM WA7211 (S1)-LS,GM,WA7211,SPECTRA RED,NA,
GM WA300N (S1)-LS,GM,WA300N,VELOCITY YELLOW TINT,NA,
GM WA9929 (S1)-LS,GM,WA9929,SUNFIRE YELLOW,NA,
GM WA8908 (S1)-LS,GM,WA8908,TALBOT YELLOW,NA,
GM WA253A (S1)-LS,GM,WA253A,WHEATLAND YELLOW,NA,
GM WA9418 (S1)-LS,GM,WA9418,WHEATLAND YELLOW,NA,
GM WA999J (S1)-LS,GM,WA999J,TAXI YELLOW,NA,
GM WA7381 (S1)-LS,GM,WA7381,ROMAN MAROON,NA,
GM WA9592 (S1)-LS,GM,WA9592,"	MEDIUM FLAX",NA,
GM WA5704 (S1)-LS,GM,WA5704,POLAR WHITE,NA,
GM WA8929 (S1)-LS,GM,WA8929,YELLOW GOLD,NA,
GM WA5247 (S1)-LS,GM,WA5247,WHEATLAND YELLOW,NA,
GM WA7382 (S1)-LS,GM,WA7382,SLATE GREY,NA,
GM WA5111 (S1)-LS,GM,WA5111,WHITE,NA,
GM WA8740 (S1)-LS,GM,WA8740,YELLOW GOLD,NA,
GM WA8758 (S1)-LS,GM,WA8758,SUNGOLD,NA,
GM WA628D (S1)-LS,GM,WA628D,SHOCK,NA,
GM WA408C (S1)-LS,GM,WA408C,SCORCHED,NA,
GM WA8525 (S1)-LS,GM,WA8525,YELLOW BEIGE,NA,
GM WA8920 (S1)-LS,GM,WA8920,TAN,NA,
GM WA9307 (S1)-LS,GM,WA9307,YELLOW BEIGE,NA,
GM WA8528 (S1)-LS,GM,WA8528,SEDONA TAN,NA,
MAZDA GW (S1)-LS,MAZDA,GW,AEGE BLUE,NA,
MAZDA HQ (S1)-LS,MAZDA,HQ,BLUE BLACK,NA,
MAZDA DV (S1)-LS,MAZDA,DV,BAY BLUE,NA,
MAZDA A2C (S1)-LS,MAZDA,A2C,DIAMOND WHITE,NA,
MAZDA A1L (S1)-LS,MAZDA,A1L,CRYSTAL WHITE,NA,
MAZDA A2W (S1)-LS,MAZDA,A2W,COOL WHITE,NA,
MAZDA YZ4 (S1)-LS,MAZDA,YZ4,CLASSIC WHITE CLEARCOAT,NA,
MAZDA PT (S1)-LS,MAZDA,PT,CHASTE WHITE,NA,
MAZDA RY (S1)-LS,MAZDA,RY,BORDEAUX RED,NA,
MAZDA Z9T (S1)-LS,MAZDA,Z9T,BRIGHT RED 2,NA,
MAZDA SQ (S1)-LS,MAZDA,SQ,BURNING RED,NA,
MAZDA E4 (S1)-LS,MAZDA,E4,BRIGHT RED,NA,
MAZDA A4S (S1)-LS,MAZDA,A4S,COLORADO RED,NA,
MAZDA A3E (S1)-LS,MAZDA,A3E,ETERNAL RED,NA,
MAZDA A2E (S1)-LS,MAZDA,A2E,BRIGHT BLUE,NA,
MAZDA FW (S1)-LS,MAZDA,FW,CALEDONIA GREEN,NA,
MAZDA FV (S1)-LS,MAZDA,FV,BORG GREEN,NA,
MAZDA TE (S1)-LS,MAZDA,TE,BEIGE,NA,
MAZDA TG (S1)-LS,MAZDA,TG,BRIGHT YELLOW,NA,
MAZDA GY (S1)-LS,MAZDA,GY,CECILE GREY,NA,
MAZDA A4B (S1)-LS,MAZDA,A4B,HONEY YELLOW,NA,
MAZDA VF (S1)-LS,MAZDA,VF,CALM BEIGE,NA,
MAZDA 5X (S1)-LS,MAZDA,5X,FRENCH CAMEL,NA,
MAZDA VE (S1)-LS,MAZDA,VE,GLEAM IVORY,NA,
MAZDA HF (S1)-LS,MAZDA,HF,FASCINATE BLUE,NA,
MAZDA A3Y (S1)-LS,MAZDA,A3Y,DARK TRUE BLUE,NA,
MAZDA EQ (S1)-LS,MAZDA,EQ,COSMIC GREEN,NA,
MAZDA VP (S1)-LS,MAZDA,VP,NEVADA BEIGE,NA,
MAZDA UH (S1)-LS,MAZDA,UH,IDYLL BEIGE,NA,
MAZDA 1HY (S1)-LS,MAZDA,1HY,IVORY WHITE,NA,
MAZDA VK (S1)-LS,MAZDA,VK,TAXI BEIGE,NA,
MAZDA VW (S1)-LS,MAZDA,VW,WHITE,NA,
MAZDA 9L (S1)-LS,MAZDA,9L,OXFORD WHITE,NA,
MAZDA SD (S1)-LS,MAZDA,SD,SANTOS RED,NA,
