SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Evaluation,BUCKET,DATABASE,Tag_Coarseness
NISSAN KT4 (S1),NISSAN,KT4,DARK GREY PEARL,1998-2004,3,2,CAMPAIGN MEASUREMENT,Coarse
NISSAN KT4 (S2),NISSAN,KT4,DARK GREY PEARL,1998-2004,3,2,CAMPAIGN MEASUREMENT,Coarse
OPEL 22T (S1),OPEL,22T,DARK INK MET,2013-2019,2,2,CAMPAIGN MEASUREMENT,Medium
PEUGEOT KKS (S1),PEUGEOT,KKS,MOKA MET,2012-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
PEUGEOT EDZ (S1),PEUGEOT,EDZ,EMERALD CRYSTAL MET,2014-2019,4,2,CAMPAIGN MEASUREMENT,Extra Coarse
SEAT 0X1 (S1),SEAT,0X1,DESIRE RED PERL,2016-2023,1,2,CAMPAIGN MEASUREMENT,Fine
SKODA 9986 (S1),SKODA,9986,PLUM BLUE PERLEFEKT,2009-2018,3,2,CAMPAIGN MEASUREMENT,Coarse
SSANGYONG RAM (S1),SSANGYONG ,RAM,FLAMING RED PEARL,2015-2019,1,2,CAMPAIGN MEASUREMENT,Fine
SUZUKI ZVR (S1),SUZUKI,ZVR,PURE WHITE PEARL,2015-2019,1,2,CAMPAIGN MEASUREMENT,Fine
SUZUKI ZTR (S1),SUZUKI,ZTR,SNOW WHITE 2 PEARL,2012-2012,1,2,CAMPAIGN MEASUREMENT,Fine
SUZUKI ZWG (S1),SUZUKI,ZWG,SPEEDY BLUE MET,2017-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
SUZUKI ZQQ (S1),SUZUKI,ZQQ,SAVANNA IVORY MET,2015-2019,1,2,CAMPAIGN MEASUREMENT,Fine
SUZUKI Z9Q (S1),SUZUKI,Z9Q,RAY BLUE PEARL MET,2016-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
SUZUKI Z9Q (S2),SUZUKI,Z9Q,RAY BLUE PEARL MET,2016-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
SUZUKI ZWD (S1),SUZUKI,ZWD,FLAME ORANGE PEARL MET,2016-2019,2,2,CAMPAIGN MEASUREMENT,Medium
SUZUKI ZQ4 (S1),SUZUKI,ZQ4,SPHERE BLUE PEARL,2016-2019,3,2,CAMPAIGN MEASUREMENT,Coarse
AUDI LX5E (S1),AUDI,LX5E,KOSMOSBLAU MET,2016-2019,4,2,CAMPAIGN MEASUREMENT,Extra Coarse
AUDI LR7N (S1),AUDI,LR7N,MOUNTAIN GREY MET,2006-2011,2,2,CAMPAIGN MEASUREMENT,Medium
BMW A34 (S1),BMW,A34,ARKTIS MET,2004-2009,2,2,CAMPAIGN MEASUREMENT,Medium
FORD AMERICA UG (S1),FORD AMERICA,UG,WHITE PLATINUM TRICOAT,2009-2019,2,2,CAMPAIGN MEASUREMENT,Medium
FORD AMERICA UG (S3),FORD AMERICA,UG,WHITE PLATINUM TRICOAT,2009-2019,2,2,CAMPAIGN MEASUREMENT,Medium
HONDA B502P (S1),HONDA,B502P,INDIGO BLUE PEARL,2000-2006,1,2,CAMPAIGN MEASUREMENT,Fine
HONDA G506M (S1),HONDA,G506M,MINT OPAL GREEN MET,2000-2003,2,2,CAMPAIGN MEASUREMENT,Medium
HONDA G532M (S1),HONDA,G532M,OPAL SAGE MET,2009-2013,3,2,CAMPAIGN MEASUREMENT,Coarse
HONDA R505P (S1),HONDA,R505P,BURNING RED PEARL,1998-2000,1,2,CAMPAIGN MEASUREMENT,Fine
HONDA R549P (S1),HONDA,R549P,DARK CHERRY PEARL II,2012-2012,3,2,CAMPAIGN MEASUREMENT,Coarse
HONDA YR523M (S1),HONDA,YR523M,CHAMPAGNE BEIGE MET,1998-2000,2,2,CAMPAIGN MEASUREMENT,Medium
HONDA R528P (S1),HONDA,R528P,MOROCCAN RED PEARL,2006-2008,2,2,CAMPAIGN MEASUREMENT,Medium
HYUNDAI P3W (S1),HYUNDAI,P3W,MUSHROOM MET,2011-2011,1,2,CAMPAIGN MEASUREMENT,Fine
HYUNDAI WC9 (S1),HYUNDAI,WC9,HYPER WHITE PEARL,2017-2020,1,2,CAMPAIGN MEASUREMENT,Fine
TOYOTA 089 (S1),TOYOTA,089,PLATINUM WHITE PEARL,2017-2019,2,2,CAMPAIGN MEASUREMENT,Medium
ALFA ROMEO 214B (S1),ALFA ROMEO,214B,BIANCO,2014-2019,1,2,CAMPAIGN MEASUREMENT,Fine
